name,total_patents,avg_citations_per_patent,total_citations,max_patent_citations
International Business Machines Corporation,113587,20.62,7824169,2059
"SAMSUNG ELECTRONICS CO., LTD.",100747,9.46,3075618,4038
Canon Kabushiki Kaisha,62552,16.4,2649214,3946
FUJITSU LIMITED,44013,15.8,1765181,987
SONY GROUP CORPORATION,43840,14.35,1492382,1666
General Electric Company,43390,17.34,2035985,1533
Kabushiki Kaisha Toshiba,40332,17.41,1813216,2309
"HITACHI, LTD.",39138,20.34,3079710,1308
Intel Corporation,35751,15.65,1744009,1861
Mitsubishi Electric Corporation,32932,13.7,1233783,1146
"Sumitomo Electric Industries, Ltd.",32774,18.62,1877166,1332
LG ELECTRONICS INC.,30119,9.59,954753,2120
Microsoft Corporation,27953,35.97,3382362,1479
NEC CORPORATION,26509,15.56,683840,620
"Micron Technology, Inc.",26024,19.22,1021381,1096
Siemens Aktiengesellschaft,24377,13.64,747507,1463
Apple Inc.,24042,25.4,3171176,3274
TOYOTA JIDOSHA KABUSHIKI KAISHA,23292,10.56,712840,1417
"HONDA MOTOR CO., LTD.",23127,11.87,781242,1051
QUALCOMM Incorporated,23004,10.9,864263,1732
