year,total_patents,cn_patents,us_patents,jp_patents,kr_patents,de_patents,cn_share_pct,us_share_pct,cn_growth_pct
1985,53850,178,58425,39797,138,14239,0.33,108.5,
1986,55787,223,60937,44370,162,14782,0.4,109.23,25.28
1987,60512,235,67499,48624,278,15519,0.39,111.55,5.38
1988,67232,312,76250,57935,395,16382,0.46,113.41,32.77
1989,72537,361,82995,63960,745,17321,0.5,114.42,15.71
1990,75447,471,90579,65392,892,17052,0.62,120.06,30.47
1991,77617,463,96370,66954,1373,16122,0.6,124.16,-1.7
1992,81505,565,106356,67935,1600,16973,0.69,130.49,22.03
1993,84022,788,115133,68473,2021,16980,0.94,137.03,39.47
1994,96293,857,135268,79663,3238,19385,0.89,140.48,8.76
1995,114735,1182,176192,91250,4227,22870,1.03,153.56,37.92
1996,115474,1447,163362,92194,6431,22351,1.25,141.47,22.42
1997,135694,1857,200062,106039,7104,26656,1.37,147.44,28.33
1998,135276,2284,203146,96682,8138,27869,1.69,150.17,22.99
1999,144661,3035,223014,100566,8455,32951,2.1,154.16,32.88
2000,159493,3767,247420,117612,10345,35730,2.36,155.13,24.12
2001,171222,4981,258435,132850,12470,42473,2.91,150.94,32.23
2002,171378,5614,262631,128669,15894,42383,3.28,153.25,12.71
2003,167440,6193,262901,120963,19061,34960,3.7,157.01,10.31
2004,169521,8019,261706,124176,24426,34320,4.73,154.38,29.48
2005,175363,9183,267989,128955,29463,34669,5.24,152.82,14.52
2006,179444,12142,273685,126670,36894,35928,6.77,152.52,32.22
2007,186348,14824,295973,127385,38976,37228,7.96,158.83,22.09
2008,186613,17881,288676,127187,41424,38492,9.58,154.69,20.62
2009,178496,19945,278666,119579,42217,36426,11.17,156.12,11.54
2010,189549,24083,302512,122100,46471,40154,12.71,159.6,20.75
2011,207174,28995,333706,133597,51703,41978,14.0,161.08,20.4
2012,227435,34006,381340,137115,53792,44738,14.95,167.67,17.28
2013,241971,39489,414940,134667,68264,46287,16.32,171.48,16.12
2014,250097,48189,422611,136079,76183,47357,19.27,168.98,22.03
2015,260419,54997,439942,142872,82807,49326,21.12,168.94,14.13
2016,269471,66528,462243,145242,83600,51586,24.69,171.54,20.97
2017,281696,79839,487949,148578,85400,53944,28.34,173.22,20.01
2018,285026,94166,491208,148824,86437,54724,33.04,172.34,17.94
2019,301447,108126,520675,150628,100553,53723,35.87,172.73,14.82
2020,279490,113234,486964,130368,100876,48210,40.51,174.23,4.72
2021,246842,114458,443223,98331,85582,37048,46.37,179.56,1.08
2022,191456,86141,341954,73043,72041,25146,44.99,178.61,-24.74
