country,total_patents,total_citations,avg_citations_per_patent,max_citations,quadrant
US,3090512,217997035,29.06,5794,High Volume High Quality
JP,1061394,42815726,14.47,4311,High Volume High Quality
DE,402054,12090120,13.13,2736,High Volume Low Quality
KR,217170,6099764,9.52,4038,High Volume Low Quality
GB,183891,6360387,20.05,2552,High Volume High Quality
CN,169639,3353363,9.85,2167,High Volume Low Quality
FR,155684,4690667,14.03,2463,High Volume Low Quality
CA,149606,5499753,19.69,2577,High Volume High Quality
TW,145225,3404547,11.17,2824,High Volume Low Quality
CH,75376,1987539,15.3,2635,High Volume High Quality
IT,67501,1639485,12.41,2153,High Volume Low Quality
NL,59632,1760071,14.89,3932,High Volume High Quality
SE,56594,1744812,16.42,2110,High Volume High Quality
IL,52869,2810731,23.2,4524,High Volume High Quality
IN,49375,1029160,10.48,1629,High Volume Low Quality
AU,42472,1604983,20.71,1783,Low Volume High Quality
BE,31772,951982,15.46,1923,Low Volume High Quality
AT,27865,561642,11.47,2059,Low Volume Low Quality
FI,27639,1040098,18.2,1743,Low Volume High Quality
DK,21746,702136,16.75,1698,Low Volume High Quality
SG,19227,506318,13.77,1063,Low Volume Low Quality
ES,14616,352618,11.29,1204,Low Volume Low Quality
IE,12588,462683,20.49,2045,Low Volume High Quality
NO,10688,283605,14.18,713,Low Volume Low Quality
RU,9160,452726,18.11,2771,Low Volume High Quality
NZ,6893,240372,18.56,1683,Low Volume High Quality
BR,6214,173722,13.73,1373,Low Volume Low Quality
CM,5485,84238,9.99,516,Low Volume Low Quality
SA,4452,75988,7.86,721,Low Volume Low Quality
MY,4425,101069,12.07,894,Low Volume Low Quality
