year,patents
1682,1
1868,1
1872,1
1873,1
1877,4
1878,2
1885,1
1893,1
1897,1
1900,1
1901,2
1902,1
1903,5
1904,6
1905,1
1908,1
1909,1
1915,1
1918,1
1921,1
1922,1
1925,1
1929,1
1931,2
1933,1
1936,2
1938,4
1939,1
1940,3
1941,2
1943,4
1944,18
1945,19
1946,12
1947,4
1948,8
1949,10
1950,9
1951,11
1952,17
1953,11
1954,24
1955,24
1956,24
1957,18
1958,31
1959,40
1960,44
1961,61
1962,83
1963,77
1964,109
1965,124
1966,140
1967,160
1968,195
1969,305
1970,534
1971,1181
1972,2195
1973,8396
1974,38522
1975,68052
1976,71046
1977,71543
1978,71046
1979,71120
1980,72129
1981,69238
1982,70781
1983,67612
1984,73596
1985,78472
1986,81997
1987,89163
1988,98294
1989,104499
1990,108566
1991,109592
1992,113347
1993,118370
1994,135178
1995,157411
1996,158433
1997,184236
1998,183966
1999,197162
2000,214632
2001,228021
2002,228953
2003,220579
2004,221454
2005,226484
2006,231706
2007,240271
2008,241976
2009,233383
2010,248378
2011,268844
2012,294133
2013,313032
2014,322929
2015,335484
2016,347454
2017,362653
2018,367908
2019,388318
2020,361312
2021,318982
2022,250221
2023,155607
2024,54392
2025,4733
