year,ai_patents,software_patents,total_computing,ai_share_pct
1990,179,2568,2747,6.52
1991,200,2846,3046,6.57
1992,219,3521,3740,5.86
1993,203,4122,4325,4.69
1994,216,5531,5747,3.76
1995,261,7905,8166,3.2
1996,156,9120,9276,1.68
1997,203,11339,11542,1.76
1998,146,11711,11857,1.23
1999,215,12662,12877,1.67
2000,226,14231,14457,1.56
2001,249,15173,15422,1.61
2002,246,15153,15399,1.6
2003,229,16215,16444,1.39
2004,241,18458,18699,1.29
2005,344,19407,19751,1.74
2006,377,20772,21149,1.78
2007,485,22912,23397,2.07
2008,608,25293,25901,2.35
2009,589,22494,23083,2.55
2010,642,25784,26426,2.43
2011,867,30052,30919,2.8
2012,1137,37611,38748,2.93
2013,1455,41939,43394,3.35
2014,1677,42998,44675,3.75
2015,2408,46674,49082,4.91
2016,3701,48426,52127,7.1
2017,6136,51118,57254,10.72
2018,9926,53981,63907,15.53
2019,14598,61136,75734,19.28
2020,15571,56114,71685,21.72
2021,13093,50166,63259,20.7
2022,7734,39127,46861,16.5
