year,ev_patents,combustion_patents
1990,78,1089
1991,108,1062
1992,159,1038
1993,184,1099
1994,276,1139
1995,249,1253
1996,280,1434
1997,272,1633
1998,255,1591
1999,271,1773
2000,408,2308
2001,353,2485
2002,454,2644
2003,445,2176
2004,380,2361
2005,448,2428
2006,621,2279
2007,800,2356
2008,789,2290
2009,885,2021
2010,1118,1947
2011,1661,2345
2012,1843,2364
2013,1770,2609
2014,1907,2744
2015,2010,2872
2016,2164,3244
2017,2468,2840
2018,2544,2524
2019,3023,2367
2020,2576,1870
2021,2625,1573
2022,2214,1127
