year,wireless_patents,telephony_patents
1990,241,569
1991,320,586
1992,343,658
1993,482,768
1994,776,1114
1995,1135,1426
1996,1512,1867
1997,1854,2465
1998,1999,2465
1999,2453,2553
2000,2846,2821
2001,3205,2841
2002,3468,2704
2003,3535,2666
2004,4248,2836
2005,4677,3099
2006,5475,3356
2007,6367,3310
2008,6986,3248
2009,7682,3153
2010,8393,3055
2011,10597,3240
2012,13328,4210
2013,15847,4353
2014,17391,4468
2015,19392,4727
2016,20257,4504
2017,20728,4507
2018,21512,3958
2019,24581,4426
2020,24228,3925
2021,21183,3131
2022,14188,2464
