year,oil_extraction_patents,battery_patents,oil_growth,battery_growth
1995,914,985,,
1996,960,1012,5.03,2.74
1997,1121,1197,16.77,18.28
1998,1177,1284,5.0,7.27
1999,1120,1295,-4.84,0.86
2000,1315,1709,17.41,31.97
2001,1449,2073,10.19,21.3
2002,1580,1958,9.04,-5.55
2003,1425,1895,-9.81,-3.22
2004,1457,1900,2.25,0.26
2005,1356,2132,-6.93,12.21
2006,1491,2311,9.96,8.4
2007,1788,2416,19.92,4.54
2008,1995,2486,11.58,2.9
2009,2134,2429,6.97,-2.29
2010,2245,3261,5.2,34.25
2011,2598,3554,15.72,8.98
2012,2961,3772,13.97,6.13
2013,3551,4020,19.93,6.57
2014,3799,4315,6.98,7.34
2015,3727,4569,-1.9,5.89
2016,3570,4644,-4.21,1.64
2017,3247,5274,-9.05,13.57
2018,3395,5826,4.56,10.47
2019,3456,6453,1.8,10.76
2020,3513,5410,1.65,-16.16
2021,3042,4580,-13.41,-15.34
2022,2473,3186,-18.7,-30.44
