year,us_patents,cn_patents,jp_patents,kr_patents,de_patents,total,us_share_pct,cn_share_pct
1990,90579,471,65392,892,17052,174386,51.94,0.27
1991,96370,463,66954,1373,16122,181282,53.16,0.26
1992,106356,565,67935,1600,16973,193429,54.98,0.29
1993,115133,788,68473,2021,16980,203395,56.61,0.39
1994,135268,857,79663,3238,19385,238411,56.74,0.36
1995,176192,1182,91250,4227,22870,295721,59.58,0.4
1996,163362,1447,92194,6431,22351,285785,57.16,0.51
1997,200062,1857,106039,7104,26656,341718,58.55,0.54
1998,203146,2284,96682,8138,27869,338119,60.08,0.68
1999,223014,3035,100566,8455,32951,368021,60.6,0.82
2000,247420,3767,117612,10345,35730,414874,59.64,0.91
2001,258435,4981,132850,12470,42473,451209,57.28,1.1
2002,262631,5614,128669,15894,42383,455191,57.7,1.23
2003,262901,6193,120963,19061,34960,444078,59.2,1.39
2004,261706,8019,124176,24426,34320,452647,57.82,1.77
2005,267989,9183,128955,29463,34669,470259,56.99,1.95
2006,273685,12142,126670,36894,35928,485319,56.39,2.5
2007,295973,14824,127385,38976,37228,514386,57.54,2.88
2008,288676,17881,127187,41424,38492,513660,56.2,3.48
2009,278666,19945,119579,42217,36426,496833,56.09,4.01
2010,302512,24083,122100,46471,40154,535320,56.51,4.5
2011,333706,28995,133597,51703,41978,589979,56.56,4.91
2012,381340,34006,137115,53792,44738,650991,58.58,5.22
2013,414940,39489,134667,68264,46287,703647,58.97,5.61
2014,422611,48189,136079,76183,47357,730419,57.86,6.6
2015,439942,54997,142872,82807,49326,769944,57.14,7.14
2016,462243,66528,145242,83600,51586,809199,57.12,8.22
2017,487949,79839,148578,85400,53944,855710,57.02,9.33
2018,491208,94166,148824,86437,54724,875359,56.12,10.76
2019,520675,108126,150628,100553,53723,933705,55.76,11.58
2020,486964,113234,130368,100876,48210,879652,55.36,12.87
2021,443223,114458,98331,85582,37048,778642,56.92,14.7
2022,341954,86141,73043,72041,25146,598325,57.15,14.4
