year,patents,prev_year_patents,growth_pct,rolling_5yr_avg
1682,1,,,1.0
1868,1,1.0,0.0,1.0
1872,1,1.0,0.0,1.0
1873,1,1.0,0.0,1.0
1877,4,1.0,300.0,2.0
1878,2,4.0,-50.0,2.0
1885,1,2.0,-50.0,2.0
1893,1,1.0,0.0,2.0
1897,1,1.0,0.0,2.0
1900,1,1.0,0.0,1.0
1901,2,1.0,100.0,1.0
1902,1,2.0,-50.0,1.0
1903,5,1.0,400.0,2.0
1904,6,5.0,20.0,3.0
1905,1,6.0,-83.33,3.0
1908,1,1.0,0.0,3.0
1909,1,1.0,0.0,3.0
1915,1,1.0,0.0,2.0
1918,1,1.0,0.0,1.0
1921,1,1.0,0.0,1.0
1922,1,1.0,0.0,1.0
1925,1,1.0,0.0,1.0
1929,1,1.0,0.0,1.0
1931,2,1.0,100.0,1.0
1933,1,2.0,-50.0,1.0
1936,2,1.0,100.0,1.0
1938,4,2.0,100.0,2.0
1939,1,4.0,-75.0,2.0
1940,3,1.0,200.0,2.0
1941,2,3.0,-33.33,2.0
1943,4,2.0,100.0,3.0
1944,18,4.0,350.0,6.0
1945,19,18.0,5.56,9.0
1946,12,19.0,-36.84,11.0
1947,4,12.0,-66.67,11.0
1948,8,4.0,100.0,12.0
1949,10,8.0,25.0,11.0
1950,9,10.0,-10.0,9.0
1951,11,9.0,22.22,8.0
1952,17,11.0,54.55,11.0
1953,11,17.0,-35.29,12.0
1954,24,11.0,118.18,14.0
1955,24,24.0,0.0,17.0
1956,24,24.0,0.0,20.0
1957,18,24.0,-25.0,20.0
1958,31,18.0,72.22,24.0
1959,40,31.0,29.03,27.0
1960,44,40.0,10.0,31.0
1961,61,44.0,38.64,39.0
1962,83,61.0,36.07,52.0
1963,77,83.0,-7.23,61.0
1964,109,77.0,41.56,75.0
1965,124,109.0,13.76,91.0
1966,140,124.0,12.9,107.0
1967,160,140.0,14.29,122.0
1968,195,160.0,21.88,146.0
1969,305,195.0,56.41,185.0
1970,534,305.0,75.08,267.0
1971,1181,534.0,121.16,475.0
1972,2195,1181.0,85.86,882.0
1973,8396,2195.0,282.51,2522.0
1974,38522,8396.0,358.81,10166.0
1975,68052,38522.0,76.66,23669.0
1976,71046,68052.0,4.4,37642.0
1977,71543,71046.0,0.7,51512.0
1978,71046,71543.0,-0.69,64042.0
1979,71120,71046.0,0.1,70561.0
1980,72129,71120.0,1.42,71377.0
1981,69238,72129.0,-4.01,71015.0
1982,70781,69238.0,2.23,70863.0
1983,67612,70781.0,-4.48,70176.0
1984,73596,67612.0,8.85,70671.0
1985,78472,73596.0,6.63,71940.0
1986,81997,78472.0,4.49,74492.0
1987,89163,81997.0,8.74,78168.0
1988,98294,89163.0,10.24,84304.0
1989,104499,98294.0,6.31,90485.0
1990,108566,104499.0,3.89,96504.0
1991,109592,108566.0,0.95,102023.0
1992,113347,109592.0,3.43,106860.0
1993,118370,113347.0,4.43,110875.0
1994,135178,118370.0,14.2,117011.0
1995,157411,135178.0,16.45,126780.0
1996,158433,157411.0,0.65,136548.0
1997,184236,158433.0,16.29,150726.0
1998,183966,184236.0,-0.15,163845.0
1999,197162,183966.0,7.17,176242.0
2000,214632,197162.0,8.86,187686.0
2001,228021,214632.0,6.24,201603.0
2002,228953,228021.0,0.41,210547.0
2003,220579,228953.0,-3.66,217869.0
2004,221454,220579.0,0.4,222728.0
2005,226484,221454.0,2.27,225098.0
2006,231706,226484.0,2.31,225835.0
2007,240271,231706.0,3.7,228099.0
2008,241976,240271.0,0.71,232378.0
2009,233383,241976.0,-3.55,234764.0
2010,248378,233383.0,6.43,239143.0
2011,268844,248378.0,8.24,246570.0
2012,294133,268844.0,9.41,257343.0
2013,313032,294133.0,6.43,271554.0
2014,322929,313032.0,3.16,289463.0
2015,335484,322929.0,3.89,306884.0
2016,347454,335484.0,3.57,322606.0
2017,362653,347454.0,4.37,336310.0
2018,367908,362653.0,1.45,347286.0
2019,388318,367908.0,5.55,360363.0
2020,361312,388318.0,-6.95,365529.0
2021,318982,361312.0,-11.72,359835.0
2022,250221,318982.0,-21.56,337348.0
2023,155607,250221.0,-37.81,294888.0
2024,54392,155607.0,-65.05,228103.0
2025,4733,54392.0,-91.3,156787.0
