inventor_name,company_name,shared_patents,inventor_patents,company_patents
Shunpei Yamazaki,"Semiconductor Energy Laboratory Co., Ltd.",6708,6749,47244
Kia Silverbrook,Silverbrook Research Pty Ltd,4386,4772,10512
Tao Luo,QUALCOMM Incorporated,4189,4274,152505
Jonathan P. Ive,Apple Inc.,2752,2871,191908
Junyi Li,QUALCOMM Incorporated,2691,2756,152505
Kangguo Cheng,International Business Machines Corporation,2575,2944,559837
Peter Gaal,QUALCOMM Incorporated,2481,2487,152505
Duncan Robert Kerr,Apple Inc.,2383,2462,191908
Bartley K. Andre,Apple Inc.,2298,2409,191908
Wanshi Chen,QUALCOMM Incorporated,2285,2299,152505
