country,inventor_name,patents,country_rank
AD,Bruno DeLean,12,1
AD,Johnny De Viveiros Ortiz,9,2
AD,Juan Eusebio Nomen Calvet,7,3
AE,Cevat Yerli,101,1
AE,Jaidev Rajnikant Shroff,69,2
AE,Vikram Rajnikant Shroff,64,3
AF,Cheok-Kei Lei,20,1
AF,Tomas Mecklin,12,2
AF,Ernst Neuhold,5,3
AF,Mats S{dot over (a)}gfors,5,3
AF,Richard W. Ward,5,3
AG,Ronald Raymond Austríng,7,1
AG,Walter Ruffner,5,2
AG,Julie K. Randolph,1,3
AG,"Ronald Raymond Austr+e,acu i+ee ng",1,3
AI,Sverre Dokken,8,1
AI,Terry Earl Brady,4,2
AI,Jacek Gruszka,2,3
AL,Taulant Ramabaja,8,1
AL,Valter Pasku,4,2
AL,Betim Drenica,2,3
AL,Sokol Hatellari,2,3
AM,Avetik Markosyan,176,1
AM,Ashot Nshan Harutyunyan,46,2
AM,Arnak Poghosyan,45,3
AO,Jose Arellano,10,1
AO,Tana Canda,6,2
AO,Chidi Eugene Nwafor,3,3
AR,"Jose A. Navia, Sr.",98,1
AR,Mario Rafael Hueda,83,2
AR,Hernán D. Romero,56,3
AT,Josef Theurer,394,1
AT,Sung-Ho Tan,270,2
AT,Udo Ausserlechner,270,2
AT,Dirk Hammerschmidt,263,3
AU,Kia Silverbrook,4772,1
AU,Paul Lapstun,1279,2
AU,Simon Robert Walmsley,650,3
AZ,Edouard Mamedov,10,1
AZ,Elmira M. Ramazanova,6,2
AZ,Alimamed L. Shabanov,5,3
BA,Adnan Hadzialic,8,1
BA,Izudin Dzafic,7,2
BA,Kristina Blazanovic,5,3
BB,Carl Wimmer,15,1
BB,John Gordon Murphy,14,2
BB,Michal Andrzej Rybak,9,3
BD,Tusher Chakraborty,17,1
BD,Tausif Husain,11,2
BD,Asif Ali,7,3
BD,Faisal Khan,7,3
BD,Md. Enamul Haque,7,3
BD,Mohammed S. Haque,7,3
BD,Mohammed S. Islam,7,3
BE,Atsushi Nakamura,556,1
BE,Clarence Filsfils,271,2
BE,Mark Thomas Johnson,246,3
BF,Liang ZONG,4,1
BF,Odile Germaine Nacoulma,3,2
BF,Pierre Guissou,3,2
BF,Drissa Sereme,2,3
BF,Gnissa Konate,2,3
BF,Mihajlo Marjanovic,2,3
BF,Moumouni Konate,2,3
BG,Ventsislav Yantchev,119,1
BG,Luben Hristov,41,2
BG,David A. Smith,37,3
BH,Raheel Shafi,27,1
BH,Manimeldura Janaka Mendis,14,2
BH,Faisal Baksh,5,3
BH,Hatem M. Selim,5,3
BM,David Aubrey Plumptre,196,1
BM,Matthew Meredith Jones,76,2
BM,Peter Kay,57,3
BN,"David Robert Davies, III",24,1
BN,Saiful A. Husain,10,2
BN,Liyanage Chandratilak De Silva,8,3
BO,Franz Freudenthal,22,1
BO,Veli-Pekka Koljonen,6,2
BO,Koichiro Ogushi,4,3
BR,Dietmar Erich Bernhard Lilie,84,1
BR,Satoshi Inouye,77,2
BR,Vinicius Michel Gottin,75,3
BS,Vittorio de Nora,122,1
BS,George Goicoechea,21,2
BS,Phillip J. Vasyli,21,2
BS,Thomas C. Usher,14,3
BT,David H. Birtwistle,12,1
BT,Rolf Nordqvist,1,2
BW,Pharoah Mosupi,2,1
BW,Seja Gasenone Maphanyane,2,1
BW,Stephen Majara Chite,2,1
BW,Adamu Murtala Zungeru,1,2
BW,Ernest Gomolemo Modise,1,2
BY,Pavel Hanchar,28,1
BY,Stepan Drozd,23,2
BY,Vladimir N. Linev,23,2
BY,Medvedev Andreji,22,3
BZ,Italo Romani de Oliveira,5,1
BZ,Douglas Spadotto,2,2
BZ,Steven J. Lawson,2,2
BZ,Brenno Caetano Troca Cabella,1,3
BZ,Chiu-Ying Yu,1,3
BZ,Paulo Marques Caldeira Junior,1,3
BZ,Peter Gegg,1,3
BZ,Eckert Lewis,1,3
CA,Jianglei Ma,727,1
CA,Wayne Ernest Conrad,699,2
CA,Paul Marinier,613,3
CD,Koichi Hirata,37,1
CD,Jean-Jacques Muyembe-Tamfun,8,2
CD,Elias Suokas,5,3
CF,Norbert Varga,1,1
CF,Silla Semballa,1,1
CG,Damien Sha-Tshibey Tshibangu,1,1
CG,Mathe Eliel Kasereka,1,1
CG,Pius Tshimankinda Mpiana,1,1
CH,Matthew Sharifi,303,1
CH,Evangelos S. Eleftheriou,224,2
CH,Jørgen Bodum,222,3
CI,Csaba Antal,13,1
CI,Laurent Aké Assi,3,2
CI,Modibo Ouattara,2,3
CI,Wanus Prommate,2,3
CL,Fernando Benjamin Fischmann,46,1
CL,Yukio Horiuchi,43,2
CL,Rudolf O. Ernst,38,3
CM,Masaaki Tabata,328,1
CM,Yasuo Omori,298,2
CM,Osamu Nakayama,284,3
CN,Shou-Shan Fan,2621,1
CN,Kai Zhang,2269,2
CN,Hongbin Liu,1653,3
CO,Jorge Uribe,16,1
CO,Daniel Acevedo,14,2
CO,Jose Edgar Patiño,12,3
CO,Juliana Londoño Murillo,12,3
CR,Cesar Augusto Rodriguez Bravo,119,1
CR,Edgar A. Zamora Duran,65,2
CR,Claude Hope,39,3
CU,Gerardo Enrique Guillen Nieto,22,1
CU,Rolando Perez Rodriguez,21,2
CU,Jose Enrique Montero Casimiro,13,3
CU,Josefa Lombardero Valladares,13,3
CY,Dimitris Koulakiotis,31,1
CY,Michalakis Averkiou,29,2
CY,Nikita Kotlov,16,3
CZ,Josef Valchar,82,1
CZ,Filip Nguyen,81,2
