year,optical_disc_patents,streaming_patents,optical_growth,streaming_growth
1995,3556,2906,,
1996,4053,3820,13.98,31.45
1997,4920,5250,21.39,37.43
1998,4350,6302,-11.59,20.04
1999,4609,7688,5.95,21.99
2000,5113,9499,10.94,23.56
2001,5527,10696,8.1,12.6
2002,5095,10918,-7.82,2.08
2003,5309,10900,4.2,-0.16
2004,5376,11906,1.26,9.23
2005,5192,12972,-3.42,8.95
2006,4822,14218,-7.13,9.61
2007,4308,15486,-10.66,8.92
2008,3588,16009,-16.71,3.38
2009,3142,15114,-12.43,-5.59
2010,2855,16063,-9.13,6.28
2011,2568,18466,-10.05,14.96
2012,2623,22804,2.14,23.49
2013,2705,26155,3.13,14.69
2014,2422,29160,-10.46,11.49
2015,2248,31712,-7.18,8.75
2016,1938,33526,-13.79,5.72
2017,1850,33224,-4.54,-0.9
2018,1615,33765,-12.7,1.63
2019,1625,37397,0.62,10.76
2020,1426,35181,-12.25,-5.93
2021,1316,31391,-7.71,-10.77
2022,1088,23887,-17.33,-23.9
