patent_id,title,year,inventor_name,inventor_country,company_name
12029253,Method for regulating the vaporisation of a vaporiser in an inhaler,2020,Eiko BÄUMKER,DE,KÖRBER TECHNOLOGIES GMBH
6584128,Thermoelectric cooler driver utilizing unipolar pulse width modulated synchronous rectifiers,2001,Richard Kroeger,Unknown,"Scientific-Atlanta, Inc."
11161990,Voided latex particles containing functionalized outer shells,2016,Matthew F. Boudreaux,US,Arkema Inc.
6795487,Receiver,1999,Gerald Whitworth,Unknown,Ceva Ireland Limited
12324454,Temperature control for a rotary head extruder,2021,Robert Egnatchik,US,"Frito-Lay North America, Inc."
D474886,Earplug container,2002,Thomas W. Fleming,US,"Bacou-Dalloz USA Safety, Inc."
11885288,Fuel pump module for vehicle,2022,Duck Su Moon,KR,HYUNDAI MOTOR COMPANY
11885288,Fuel pump module for vehicle,2022,Duck Su Moon,KR,KIA CORPORATION
11885288,Fuel pump module for vehicle,2022,Duck Su Moon,KR,"Hyundam Industrial Co., Ltd."
7646155,Generic motor control system,2005,Samuel G. Woods,US,Balck & Decker Inc.
4339721,Electrostatic voltmeter,1980,Takuya Hosoda,JP,"Ando Electric Co., Ltd."
6610738,N-disubstituted carbamoyloxy flavones,2001,Eva K. Mudráné,HU,"BIOGAL Pharmaceutical Co., Ltd."
6448562,Remote detection of fissile material,1999,Muamer Zukic,US,Jaycor
4432679,Lock spindle blind fastener for single action application,1980,Donald J. Angelosanto,US,Huck Manufacturing Co.
11093663,Gearsets,2018,Barry James,GB,ROMAX TECHNOLOGY LIMITED
8977851,Removable security modules and related methods,2009,Lee Allen Neitzel,US,"FISHER-ROSEMOUNT SYSTEMS, INC."
10761618,Information handling system touch device with automatically orienting visual display,2018,Jace W. Files,US,Dell Products L.P.
10263820,Channel sounding using multiple sounding configurations,2016,Stefan Parkvall,SE,Telefonaktiebolaget LM Ericsson (Publ)
10082632,Optical fiber cable connector,2017,Christopher Gaal,US,IPG PHOTONICS CORPORATION
D935390,Mobile battery,2019,Mohan Narasaiah,IN,SCHNEIDER ELECTRIC IT CORPORATION
12354161,Power generation plant operation assistance system and power generation plant control system,2021,Hiroto Takeuchi,JP,"HITACHI, LTD."
D1042490,Display screen or portion thereof with a graphical user interface,2022,Chaopeng Liu,CN,"Beijing Zitiao Network Technology Co., Ltd."
10805689,Method of transmitting IP-based broadcasting data over cable broadcasting network and apparatus for same,2018,Joon-Young Jung,KR,KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY
4513070,"Vitreous materials with ionic conductivity, the preparation of same and the electrochemical applications thereof",1983,Brigitte Carette,FR,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE
11585813,Flow cytometry evaluation for virus-size particles with antibody stain having low fluorophore ratio,2020,Michael A. Artinger,US,"Sartorius BioAnalytical Instruments, Inc."
12259564,High speed scanning system with acceleration tracking,2023,Edvinas ZIZMINSKAS,US,"PACIFIC BIOSCIENCES OF CALIFORNIA, INC."
D294010,Reversible watch case,1985,Jean Bouchet,CH,"Bouchet, Lassale S.A."
6705909,Image-forming device,2001,Tetsuya Kaneko,JP,Canon Kabushiki Kaisha
7423589,Method for localising at least one emitter,2004,Anne Ferreol,FR,THALES
12412163,Systems and methods for managing self check out services,2023,Mindy Dawn Rector,US,"Walmart Apollo, LLC"
10808661,Fuel injection device,2019,Hiroki Tanada,JP,DENSO CORPORATION
12085897,Subtractive manufacturing of an oversized MIM blank,2019,Brad D. Brinson,US,"Fossil Group, Inc."
