decade,company_name,patents
1680,Escher Wyss GmbH,3
1860,"PPG Industries, Inc.",1
1870,Gulf Research & Development Company,4
1900,"Alva Medical, Inc.",3
1900,"Mosler, Inc.",3
1900,Pall Corporation,3
1910,The Procter & Gamble Company,3
1920,Calgon Corporation,2
1930,United States of America as represented by the Secretary of the Air Force,3
1940,United States of America as represented by the Secretary of the Air Force,27
1950,United States of America as represented by the Secretary of the Air Force,93
1960,United States of America as represented by the Secretary of the Air Force,603
1970,BAYER HEALTHCARE LLC,8548
1980,"HITACHI, LTD.",30327
1990,International Business Machines Corporation,73800
2000,International Business Machines Corporation,159097
2010,"SAMSUNG ELECTRONICS CO., LTD.",303592
2020,"SAMSUNG ELECTRONICS CO., LTD.",138898
