year,wireless_patents,rolling_3yr
1995,1135,1135.0
1996,1512,1324.0
1997,1854,1500.0
1998,1999,1788.0
1999,2453,2102.0
2000,2846,2433.0
2001,3205,2835.0
2002,3468,3173.0
2003,3535,3403.0
2004,4248,3750.0
2005,4677,4153.0
2006,5475,4800.0
2007,6367,5506.0
2008,6986,6276.0
2009,7682,7012.0
2010,8393,7687.0
2011,10597,8891.0
2012,13328,10773.0
2013,15847,13257.0
2014,17391,15522.0
2015,19392,17543.0
2016,20257,19013.0
2017,20728,20126.0
2018,21512,20832.0
2019,24581,22274.0
2020,24228,23440.0
2021,21183,23331.0
2022,14188,19866.0
